farmer_type,ndvi_5yr_avg,rainfall_mm,soil_npk_index,crop_price_inr,default_risk_label
New_Farmer,0.0,840.4,22.75,2561.76,1
Experienced,0.4982,918.14,77.64,2278.17,0
New_Farmer,0.0,682.85,13.42,2320.16,1
Experienced,0.4238,474.15,77.57,2124.02,0
New_Farmer,0.0,838.05,23.27,2796.84,1
Experienced,0.5602,811.92,71.98,2397.89,0
Experienced,0.6224,974.91,64.14,1305.31,0
Experienced,0.558,517.77,30.9,1623.29,1
New_Farmer,0.0,391.55,49.51,2186.18,1
New_Farmer,0.0,547.62,35.86,2354.86,1
New_Farmer,0.0,474.54,59.14,1861.4,1
Experienced,0.6934,586.6,54.39,2272.99,0
Experienced,0.5368,422.94,52.54,3062.47,1
Experienced,0.7147,634.65,74.94,2564.57,0
New_Farmer,0.0,1022.54,64.47,2327.67,0
Experienced,0.8335,876.08,58.33,2289.37,1
New_Farmer,0.0,618.93,42.35,2538.73,0
Experienced,0.713,1122.64,63.76,2357.61,0
New_Farmer,0.0,747.9,36.42,2124.65,1
Experienced,0.7091,966.83,53.08,2431.81,0
Experienced,0.6179,375.74,28.43,2429.76,1
Experienced,0.7457,596.14,53.61,1598.84,0
New_Farmer,0.0,691.46,50.02,1970.21,1
New_Farmer,0.0,965.79,38.83,2371.02,1
Experienced,0.7887,879.97,70.1,1686.59,0
Experienced,0.4552,737.39,46.67,3123.06,1
Experienced,0.7745,650.74,29.47,1988.73,0
New_Farmer,0.0,834.04,42.2,1874.63,1
Experienced,0.6698,965.97,50.45,2244.46,1
Experienced,0.7923,627.35,52.03,2365.68,0
New_Farmer,0.0,811.55,64.8,2409.67,1
Experienced,0.7153,1073.51,85.4,2315.92,0
Experienced,0.8992,512.84,52.93,2510.86,0
Experienced,0.4972,759.98,53.26,2331.69,1
New_Farmer,0.0,547.14,73.36,1567.19,0
Experienced,0.7715,1029.28,59.78,2135.0,1
New_Farmer,0.0,354.86,73.06,2466.5,1
New_Farmer,0.0,510.06,46.61,2596.99,1
New_Farmer,0.0,750.32,24.21,2240.9,1
Experienced,0.8857,821.23,38.65,2044.05,1
New_Farmer,0.0,274.36,38.13,2899.28,1
New_Farmer,0.0,1055.65,42.69,2273.47,0
New_Farmer,0.0,680.57,43.99,2422.42,1
Experienced,0.8704,744.45,35.9,2623.32,1
New_Farmer,0.0,805.46,30.06,2414.51,1
New_Farmer,0.0,760.51,66.41,2386.36,0
New_Farmer,0.0,799.4,38.4,2159.3,0
Experienced,0.5963,468.19,49.07,2365.19,1
New_Farmer,0.0,1163.41,56.16,2000.72,1
New_Farmer,0.0,898.87,57.36,2745.5,1
New_Farmer,0.0,382.88,13.09,2885.11,1
Experienced,0.6092,1161.21,77.4,1837.76,0
New_Farmer,0.0,706.69,26.74,1388.97,1
New_Farmer,0.0,854.86,57.68,2519.15,0
Experienced,0.4604,880.86,30.78,2166.7,1
New_Farmer,0.0,1105.02,61.56,1759.6,1
Experienced,0.4813,1211.42,64.44,2289.19,1
Experienced,0.4222,1091.52,65.68,2243.09,0
Experienced,0.713,1028.73,57.28,2050.54,1
New_Farmer,0.0,1076.04,29.05,2260.47,1
New_Farmer,0.0,494.75,37.62,2365.32,1
New_Farmer,0.0,1322.72,33.85,1431.68,1
New_Farmer,0.0,490.58,19.54,1128.28,1
Experienced,0.4432,689.87,43.96,1782.11,1
Experienced,0.8277,874.0,95.66,1603.28,0
Experienced,0.4202,1189.26,66.54,2241.25,1
New_Farmer,0.0,1128.8,36.68,2744.35,1
New_Farmer,0.0,1044.39,46.78,3274.13,1
New_Farmer,0.0,830.37,52.98,1585.02,1
New_Farmer,0.0,420.97,5.5,2294.23,1
Experienced,0.8228,777.28,59.72,2639.25,0
Experienced,0.6018,690.8,70.22,1769.75,0
New_Farmer,0.0,699.69,56.3,2797.66,1
New_Farmer,0.0,596.57,25.28,2274.86,1
New_Farmer,0.0,444.19,40.19,1511.84,1
New_Farmer,0.0,502.24,42.52,1806.08,1
New_Farmer,0.0,591.35,45.34,2216.78,1
Experienced,0.7097,135.96,70.41,1538.22,1
Experienced,0.7792,944.49,56.59,2120.18,0
New_Farmer,0.0,684.04,54.2,2158.19,1
Experienced,0.5462,710.18,86.09,1559.74,1
New_Farmer,0.0,412.06,11.81,1926.32,1
New_Farmer,0.0,769.51,71.16,2884.3,1
New_Farmer,0.0,1177.81,40.79,2091.14,1
Experienced,0.5867,515.72,72.2,2748.64,1
New_Farmer,0.0,298.88,76.31,1987.65,0
New_Farmer,0.0,558.25,46.85,2870.71,1
Experienced,0.4512,913.88,54.64,1893.76,1
Experienced,0.8418,684.19,39.39,2720.79,0
Experienced,0.826,976.07,71.08,1676.82,0
Experienced,0.7679,737.21,56.67,2536.2,0
Experienced,0.658,883.91,34.54,2566.65,0
Experienced,0.5259,728.29,58.3,1832.6,0
Experienced,0.4942,1031.76,48.64,2114.82,0
Experienced,0.8213,562.4,89.27,1970.15,0
Experienced,0.4272,361.81,79.31,1985.76,1
Experienced,0.6741,1261.46,84.45,2730.72,0
Experienced,0.4481,674.17,54.8,2530.92,0
New_Farmer,0.0,470.07,29.4,1991.41,1
Experienced,0.7144,1226.59,58.52,2392.56,0
Experienced,0.5,374.54,42.72,1977.43,1
New_Farmer,0.0,631.38,31.88,2299.79,1
Experienced,0.622,1179.89,74.29,2566.12,0
New_Farmer,0.0,788.27,46.98,1626.51,1
Experienced,0.5358,644.95,85.29,1966.43,1
Experienced,0.4,673.32,65.29,2193.49,1
Experienced,0.5025,407.9,94.6,2248.02,1
Experienced,0.6534,1038.19,53.42,2159.3,0
New_Farmer,0.0,810.12,61.66,921.48,0
New_Farmer,0.0,1090.52,44.85,1744.41,0
Experienced,0.4833,1036.98,45.35,1512.26,0
New_Farmer,0.0,690.67,42.4,3748.93,1
New_Farmer,0.0,563.4,10.54,2182.43,1
New_Farmer,0.0,1070.48,47.67,2559.74,1
Experienced,0.8561,652.19,54.58,1951.65,1
Experienced,0.7122,743.31,82.04,2152.69,0
New_Farmer,0.0,966.34,69.94,3405.62,0
New_Farmer,0.0,800.98,80.92,2190.52,1
Experienced,0.6555,604.61,52.05,2681.67,1
New_Farmer,0.0,586.44,23.51,2957.44,1
Experienced,0.824,865.27,57.39,1732.07,0
Experienced,0.8198,904.33,71.07,1499.9,0
Experienced,0.4233,1012.09,39.77,2588.71,1
New_Farmer,0.0,1233.66,44.55,1622.85,1
New_Farmer,0.0,686.22,41.63,1657.1,1
New_Farmer,0.0,588.73,54.21,1996.6,0
Experienced,0.4374,649.83,62.3,3150.26,1
New_Farmer,0.0,1004.82,27.51,2307.4,1
Experienced,0.7976,759.65,53.47,1872.11,0
Experienced,0.8214,867.02,72.75,3529.69,0
Experienced,0.7141,735.32,75.78,3009.16,0
Experienced,0.4564,351.23,59.11,1023.07,1
Experienced,0.6399,591.7,58.78,1846.85,1
Experienced,0.5512,433.05,62.2,1580.46,1
New_Farmer,0.0,803.33,40.75,1678.58,1
Experienced,0.6472,728.83,72.43,2033.7,0
New_Farmer,0.0,643.39,60.73,2930.15,1
Experienced,0.4551,962.36,47.25,1098.5,1
New_Farmer,0.0,642.34,34.35,2114.97,1
Experienced,0.4079,927.75,62.01,2608.68,0
Experienced,0.6234,597.4,53.48,2297.92,1
Experienced,0.832,585.25,89.5,1624.3,1
Experienced,0.8104,886.23,61.16,2636.59,1
New_Farmer,0.0,409.13,74.02,2004.56,1
Experienced,0.4894,742.19,55.97,1532.26,1
New_Farmer,0.0,1175.06,19.39,1801.93,0
Experienced,0.4028,458.99,64.59,2189.01,1
Experienced,0.8537,905.76,52.02,2807.72,0
Experienced,0.4835,246.27,82.39,3293.94,1
New_Farmer,0.0,473.76,32.71,2035.69,1
New_Farmer,0.0,955.9,3.44,2002.63,1
Experienced,0.9,817.59,70.94,3179.14,0
Experienced,0.6679,611.44,62.48,2468.77,0
New_Farmer,0.0,669.79,18.0,2143.74,1
New_Farmer,0.0,462.89,37.36,1791.38,1
Experienced,0.8392,750.27,63.87,2455.15,0
Experienced,0.655,996.23,72.09,2335.27,0
Experienced,0.741,658.95,49.82,2801.7,1
New_Farmer,0.0,852.9,34.54,2339.34,1
New_Farmer,0.0,823.95,28.17,2178.9,1
New_Farmer,0.0,659.9,30.37,1927.49,1
Experienced,0.6342,685.99,68.35,2631.19,0
New_Farmer,0.0,908.21,41.28,1968.67,1
Experienced,0.7036,1082.38,40.75,755.79,0
Experienced,0.7676,978.66,67.93,2432.38,0
New_Farmer,0.0,687.93,8.37,1753.26,1
New_Farmer,0.0,980.93,21.65,1638.0,1
New_Farmer,0.0,568.98,62.04,2261.52,1
New_Farmer,0.0,665.71,86.56,2933.83,0
Experienced,0.8802,484.48,74.98,2301.67,0
Experienced,0.6113,898.53,37.47,2153.37,1
New_Farmer,0.0,777.82,50.46,2425.71,1
New_Farmer,0.0,966.85,75.31,1774.01,0
Experienced,0.7209,1130.47,48.25,2297.78,1
Experienced,0.5315,487.52,32.0,1625.45,1
Experienced,0.6651,716.49,62.45,2497.65,0
Experienced,0.6617,948.13,53.96,2237.42,1
Experienced,0.4074,977.96,38.07,2530.98,1
Experienced,0.7791,339.82,49.16,2153.41,1
Experienced,0.5183,660.11,54.5,2788.9,1
Experienced,0.7344,1122.5,48.5,1596.01,0
New_Farmer,0.0,402.07,45.93,2119.2,1
New_Farmer,0.0,663.26,36.72,2006.48,1
Experienced,0.4888,374.83,56.92,2066.35,1
Experienced,0.4408,409.44,61.16,2240.2,1
New_Farmer,0.0,1189.7,41.65,2411.75,1
New_Farmer,0.0,695.73,73.74,2433.42,1
Experienced,0.5521,892.59,70.22,2108.75,1
New_Farmer,0.0,502.56,56.68,2019.29,0
New_Farmer,0.0,733.9,48.59,2315.06,1
Experienced,0.7285,961.7,48.53,1928.6,0
New_Farmer,0.0,710.88,55.08,3126.54,1
Experienced,0.5916,707.63,71.17,2114.2,1
New_Farmer,0.0,381.41,38.07,2339.41,1
Experienced,0.5483,854.91,74.55,2567.03,0
New_Farmer,0.0,797.76,33.79,1721.22,0
Experienced,0.5566,907.1,40.37,2567.7,1
Experienced,0.5054,874.27,70.55,2083.37,0
Experienced,0.6863,523.33,69.42,2448.01,0
Experienced,0.4621,962.79,91.57,3751.99,1
Experienced,0.7411,909.78,64.12,2637.05,0
Experienced,0.7396,943.84,70.41,2222.6,0
New_Farmer,0.0,505.96,75.67,2092.86,1
New_Farmer,0.0,832.26,45.52,2114.29,1
New_Farmer,0.0,764.86,71.78,1567.29,0
New_Farmer,0.0,901.58,39.38,2707.36,1
Experienced,0.8205,672.68,59.12,1360.59,1
New_Farmer,0.0,450.41,27.88,1979.56,1
New_Farmer,0.0,1062.67,44.18,1778.44,0
Experienced,0.6041,860.22,51.14,2333.24,1
Experienced,0.8957,679.1,42.81,2611.96,0
Experienced,0.6424,589.06,46.01,1705.45,0
New_Farmer,0.0,770.22,30.37,2803.36,1
Experienced,0.7379,353.68,74.44,2594.37,1
Experienced,0.7368,911.7,56.34,2198.16,0
Experienced,0.8182,894.95,45.08,2124.01,1
Experienced,0.6043,648.53,85.24,2901.27,0
Experienced,0.4909,838.99,67.09,1877.98,1
Experienced,0.7224,1124.29,68.95,2453.52,0
New_Farmer,0.0,735.78,81.38,2102.03,0
Experienced,0.5408,936.52,57.34,2729.25,1
New_Farmer,0.0,1175.68,81.3,1689.06,0
Experienced,0.6386,745.11,53.69,2880.26,0
Experienced,0.8347,879.63,72.87,2152.31,0
Experienced,0.5839,1058.11,75.48,1979.71,0
New_Farmer,0.0,713.83,2.2,1985.67,1
New_Farmer,0.0,818.92,66.05,2142.17,0
New_Farmer,0.0,821.59,26.7,2447.54,1
Experienced,0.4776,555.59,42.32,2085.65,1
Experienced,0.5305,573.8,77.49,3286.43,1
Experienced,0.4951,137.83,60.22,2326.89,1
New_Farmer,0.0,765.83,24.52,1890.67,1
New_Farmer,0.0,780.94,2.78,2288.35,1
New_Farmer,0.0,983.46,51.29,2895.88,0
New_Farmer,0.0,638.08,40.09,2864.58,1
Experienced,0.8448,638.21,58.26,2650.67,0
Experienced,0.602,473.28,45.26,1608.73,1
New_Farmer,0.0,1060.19,61.06,1587.02,0
Experienced,0.7866,871.98,59.82,2926.38,1
New_Farmer,0.0,744.86,46.04,2320.86,1
New_Farmer,0.0,758.15,61.85,1621.07,0
Experienced,0.4871,461.12,48.29,2023.64,0
New_Farmer,0.0,557.89,69.83,1845.85,0
New_Farmer,0.0,939.46,47.22,2336.09,1
Experienced,0.7032,932.8,71.33,1607.02,0
New_Farmer,0.0,749.37,33.56,1615.38,1
Experienced,0.6756,781.88,55.46,2520.81,0
New_Farmer,0.0,889.58,32.08,2122.02,1
Experienced,0.422,673.23,79.47,1954.37,1
New_Farmer,0.0,820.59,70.09,3176.33,0
New_Farmer,0.0,1188.62,35.89,1338.99,1
New_Farmer,0.0,876.62,65.08,1850.67,0
Experienced,0.6,1245.5,58.01,2657.49,1
Experienced,0.7492,847.48,92.91,1968.67,0
Experienced,0.816,509.57,99.59,1718.63,0
Experienced,0.5662,1150.73,49.15,2093.32,0
New_Farmer,0.0,960.54,34.75,2221.78,0
Experienced,0.4237,612.98,55.64,2027.87,1
New_Farmer,0.0,620.91,8.87,1849.1,1
New_Farmer,0.0,596.91,30.26,1487.19,1
New_Farmer,0.0,589.22,7.24,2032.3,1
New_Farmer,0.0,1443.89,51.95,1522.54,1
New_Farmer,0.0,611.73,22.91,958.3,1
Experienced,0.5541,852.33,78.26,2212.2,0
Experienced,0.7812,146.72,40.08,1966.73,1
New_Farmer,0.0,172.85,38.42,2361.22,1
New_Farmer,0.0,644.76,51.72,1290.02,1
Experienced,0.5431,820.42,51.02,1948.24,0
Experienced,0.4692,1059.31,53.24,1861.84,1
Experienced,0.5132,510.04,68.84,2073.65,1
Experienced,0.4669,217.01,49.9,2196.16,1
New_Farmer,0.0,647.01,2.57,1117.22,1
Experienced,0.8959,404.35,52.39,2808.95,1
Experienced,0.7076,756.0,72.28,1922.57,0
Experienced,0.4828,684.61,57.69,1966.03,1
New_Farmer,0.0,1034.57,33.79,2844.88,1
New_Farmer,0.0,899.97,85.04,2017.73,1
New_Farmer,0.0,505.59,24.06,2392.12,1
Experienced,0.549,843.35,70.95,1694.5,0
New_Farmer,0.0,630.11,9.9,1859.95,1
Experienced,0.9,820.13,62.93,832.64,1
Experienced,0.6866,509.53,87.4,2621.92,0
New_Farmer,0.0,973.39,34.44,1867.72,1
New_Farmer,0.0,549.67,5.34,2186.67,1
New_Farmer,0.0,648.43,45.76,1617.41,0
Experienced,0.8083,810.26,89.57,2625.2,0
New_Farmer,0.0,748.46,29.79,1610.04,0
New_Farmer,0.0,721.1,37.27,1647.33,1
Experienced,0.888,279.73,44.42,2012.64,1
Experienced,0.558,359.23,68.75,2395.95,1
Experienced,0.5696,384.57,16.59,1957.96,1
New_Farmer,0.0,1027.13,11.52,1904.67,1
Experienced,0.6045,626.9,66.12,1715.67,0
New_Farmer,0.0,432.32,40.43,2379.9,1
Experienced,0.6873,1034.19,54.38,2369.97,1
Experienced,0.7259,298.52,52.3,2288.88,1
New_Farmer,0.0,677.71,35.12,1332.53,1
New_Farmer,0.0,1076.98,72.12,2904.95,0
Experienced,0.7783,651.75,61.88,2268.5,0
Experienced,0.8288,806.32,94.8,864.41,0
New_Farmer,0.0,1107.99,30.9,2777.2,1
Experienced,0.8025,752.84,56.1,2859.21,1
Experienced,0.6236,276.83,53.4,2021.76,1
New_Farmer,0.0,376.77,51.61,1942.76,0
New_Farmer,0.0,160.44,70.01,2176.52,1
Experienced,0.4246,328.62,80.38,2239.6,1
New_Farmer,0.0,639.58,61.4,1012.75,1
New_Farmer,0.0,882.08,55.92,1859.3,0
New_Farmer,0.0,604.7,0.26,1922.68,1
Experienced,0.7947,437.34,54.3,2393.35,1
Experienced,0.4344,732.12,53.11,1714.63,1
New_Farmer,0.0,882.51,36.65,1425.06,1
Experienced,0.5865,891.26,69.01,1925.25,1
Experienced,0.8507,688.49,28.84,1528.03,1
New_Farmer,0.0,840.08,49.29,2339.26,0
Experienced,0.5355,589.2,76.75,2462.31,1
New_Farmer,0.0,209.08,79.45,2589.28,1
New_Farmer,0.0,1071.9,58.33,2157.28,0
Experienced,0.8835,638.97,27.87,1673.34,0
Experienced,0.4175,769.29,63.16,2637.05,1
Experienced,0.5631,729.62,72.07,2425.1,1
New_Farmer,0.0,732.11,67.22,2727.82,0
Experienced,0.677,1117.59,75.96,1588.69,0
Experienced,0.6146,984.39,71.09,1745.05,0
Experienced,0.6416,906.56,60.83,1770.68,1
New_Farmer,0.0,494.38,38.12,2849.85,1
New_Farmer,0.0,484.74,13.03,2665.46,1
Experienced,0.4724,1204.15,70.54,2670.59,0
Experienced,0.4092,867.37,53.0,1291.65,1
Experienced,0.7156,549.92,62.23,2790.15,1
New_Farmer,0.0,545.04,23.63,2531.18,1
Experienced,0.7515,1069.84,82.0,1600.79,0
Experienced,0.5894,644.88,60.92,2571.72,1
New_Farmer,0.0,1147.98,56.62,2027.98,1
Experienced,0.4104,826.33,59.32,1126.06,1
Experienced,0.8612,295.22,40.02,1861.51,1
Experienced,0.4589,770.48,96.11,1890.28,0
New_Farmer,0.0,855.96,26.74,3219.32,1
Experienced,0.8029,536.7,60.29,2621.95,1
New_Farmer,0.0,384.24,32.85,2277.13,1
Experienced,0.8187,618.51,50.76,2654.37,0
Experienced,0.7446,1118.69,57.09,1883.04,1
Experienced,0.6937,712.32,57.34,2620.45,1
New_Farmer,0.0,219.33,68.76,2249.23,0
Experienced,0.7082,893.8,62.4,3392.23,1
Experienced,0.6606,878.9,69.66,1612.95,0
Experienced,0.4762,628.51,57.21,2343.85,1
Experienced,0.4326,469.37,62.25,1779.25,1
Experienced,0.724,631.83,72.58,1367.85,0
New_Farmer,0.0,430.41,31.99,2138.95,1
Experienced,0.5986,163.61,58.87,2431.07,1
New_Farmer,0.0,905.55,65.44,1383.73,0
New_Farmer,0.0,1031.19,29.4,2054.53,1
Experienced,0.8803,889.47,52.56,2824.0,0
Experienced,0.4077,833.75,48.38,2412.45,1
New_Farmer,0.0,808.16,27.27,1552.51,1
New_Farmer,0.0,631.96,84.0,1194.7,0
New_Farmer,0.0,1423.64,17.74,1395.12,1
New_Farmer,0.0,779.71,75.33,2572.83,0
New_Farmer,0.0,619.26,94.52,2001.39,0
New_Farmer,0.0,186.26,42.57,2417.8,1
Experienced,0.7134,205.27,80.07,2688.17,1
New_Farmer,0.0,954.86,40.7,2733.1,1
New_Farmer,0.0,504.29,35.08,1802.21,1
New_Farmer,0.0,348.96,43.3,1506.72,1
New_Farmer,0.0,1046.23,45.15,2560.77,1
New_Farmer,0.0,976.31,50.99,1986.27,1
Experienced,0.7296,1050.64,69.03,1787.94,0
New_Farmer,0.0,714.28,48.75,2052.63,1
Experienced,0.8918,503.82,52.82,2769.89,0
New_Farmer,0.0,183.25,69.54,2505.91,1
Experienced,0.8512,595.87,79.87,1871.93,0
Experienced,0.5651,747.35,49.5,2085.31,1
Experienced,0.8301,646.59,51.54,2328.15,0
Experienced,0.7167,502.72,57.92,2724.19,0
Experienced,0.8769,888.94,73.94,2032.91,0
Experienced,0.5247,729.62,63.19,2250.15,1
Experienced,0.6993,669.64,71.6,1768.66,0
Experienced,0.8242,612.2,64.09,2413.66,0
Experienced,0.5947,823.11,60.81,2305.95,0
New_Farmer,0.0,553.59,69.31,2261.9,1
New_Farmer,0.0,112.57,63.49,2103.36,1
Experienced,0.7278,367.77,85.22,2859.83,1
New_Farmer,0.0,1187.41,12.18,1988.98,1
Experienced,0.5654,725.74,39.51,2002.4,1
New_Farmer,0.0,423.5,44.28,1043.77,1
New_Farmer,0.0,683.3,36.13,1894.72,1
Experienced,0.8337,699.87,79.31,2206.45,0
Experienced,0.5622,599.85,70.44,1870.51,1
Experienced,0.5448,290.41,40.92,1120.5,1
Experienced,0.484,472.58,55.4,2327.82,1
New_Farmer,0.0,768.11,38.91,2068.3,1
Experienced,0.5461,396.72,34.2,1649.19,1
New_Farmer,0.0,694.29,61.0,2699.68,1
New_Farmer,0.0,204.62,37.08,2054.27,1
New_Farmer,0.0,532.07,72.27,1864.52,1
Experienced,0.4248,865.46,43.73,1661.2,1
Experienced,0.5808,699.78,56.6,1852.99,0
Experienced,0.515,620.98,80.42,2121.41,1
Experienced,0.7023,598.87,38.82,1917.04,0
Experienced,0.8644,579.84,67.16,1802.74,0
Experienced,0.4766,699.84,69.42,2801.68,1
New_Farmer,0.0,648.61,50.83,2164.73,1
Experienced,0.5828,156.99,60.55,2548.49,1
Experienced,0.8299,1053.56,52.43,2257.58,0
Experienced,0.6142,700.6,52.86,3140.52,0
Experienced,0.6895,585.35,47.14,2179.73,1
New_Farmer,0.0,670.93,81.82,2242.22,1
New_Farmer,0.0,375.57,51.69,2742.99,1
Experienced,0.8842,930.94,32.85,2681.33,0
Experienced,0.5931,1047.6,59.55,2615.51,1
Experienced,0.4769,422.91,64.53,3109.47,1
Experienced,0.679,856.63,73.54,2426.75,0
New_Farmer,0.0,778.31,40.24,1731.7,1
Experienced,0.7143,461.84,63.88,2327.66,0
New_Farmer,0.0,1557.59,21.49,2241.72,1
New_Farmer,0.0,687.66,24.53,1749.9,1
New_Farmer,0.0,117.93,45.63,1050.28,1
Experienced,0.7751,532.93,56.34,2178.59,0
Experienced,0.4688,718.66,52.91,2489.7,1
New_Farmer,0.0,1010.74,45.09,1782.62,1
New_Farmer,0.0,177.67,61.11,1747.61,1
Experienced,0.869,1135.82,66.35,2598.74,0
New_Farmer,0.0,978.36,55.28,2026.32,1
Experienced,0.5155,1301.47,76.73,1927.13,0
Experienced,0.4419,859.05,65.78,1703.31,1
Experienced,0.8573,973.61,43.91,2336.22,1
Experienced,0.7794,361.25,53.81,1961.49,1
New_Farmer,0.0,610.06,57.77,1748.55,1
New_Farmer,0.0,568.91,46.75,2178.26,1
New_Farmer,0.0,580.6,20.59,2850.96,1
New_Farmer,0.0,897.67,56.43,2559.64,1
New_Farmer,0.0,960.79,43.37,2194.51,1
Experienced,0.7697,485.41,83.09,1421.95,0
Experienced,0.6358,656.51,46.4,1964.07,1
Experienced,0.6025,580.96,56.66,2199.45,0
Experienced,0.6268,971.26,62.27,2415.15,0
New_Farmer,0.0,567.7,29.25,2103.8,1
Experienced,0.6745,640.17,31.48,2246.31,1
Experienced,0.5441,709.69,83.61,1900.95,1
Experienced,0.4924,820.63,56.82,2664.44,0
Experienced,0.439,730.29,43.91,1596.97,1
New_Farmer,0.0,96.33,6.47,1879.15,1
Experienced,0.8646,802.89,13.65,2422.73,1
Experienced,0.8709,770.66,50.09,2440.64,1
New_Farmer,0.0,820.96,63.06,2247.52,1
